127.0.0.1 - - [14/May/2018:08:35:06 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/May/2018:08:35:07 +0700] "GET /Demo/UserController HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:08:35:21 +0700] "GET /Demo/UserController?action=edit&userId=1 HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [14/May/2018:08:35:28 +0700] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:35:28 +0700] "GET /Demo/ HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:08:35:31 +0700] "GET /Demo/UserController?action=insert HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [14/May/2018:08:37:16 +0700] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:37:16 +0700] "GET /Demo/ HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:08:39:06 +0700] "GET /Demo/UserController?action=insert HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [14/May/2018:08:39:08 +0700] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:39:08 +0700] "GET /Demo/ HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:08:39:20 +0700] "GET /Demo/UserController HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:08:41:31 +0700] "GET /Demo/UserController?action=insert HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [14/May/2018:08:41:32 +0700] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:08:41:32 +0700] "GET /Demo/ HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:09:00:25 +0700] "GET /Demo/UserController?action=edit&userId=44 HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [14/May/2018:09:00:56 +0700] "POST /Demo/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:09:00:56 +0700] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:09:00:56 +0700] "GET /Demo/ HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:09:04:50 +0700] "GET /Demo/UserController?action=edit&userId=1 HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [14/May/2018:09:05:39 +0700] "GET /Demo/UserController?action=edit&userId=1 HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [14/May/2018:11:10:41 +0700] "GET /Demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2018:11:10:42 +0700] "GET /Demo/ HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/May/2018:11:11:14 +0700] "GET /Demo/UserController HTTP/1.1" 200 3332
