127.0.0.1 - - [14/May/2018:10:14:19 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/May/2018:10:14:21 +0700] "GET /demo/ HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [14/May/2018:10:14:40 +0700] "GET /demo/viewusers.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [14/May/2018:10:38:25 +0700] "GET /demo/viewusers.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [14/May/2018:10:47:36 +0700] "GET /demo/viewusers.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [14/May/2018:10:47:39 +0700] "GET /demo/ HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [14/May/2018:10:47:41 +0700] "GET /demo/viewusers.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [14/May/2018:10:50:21 +0700] "GET /demo/viewusers.jsp HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [14/May/2018:10:50:25 +0700] "GET /demo/viewusers.jsp HTTP/1.1" 200 627
