127.0.0.1 - - [24/May/2018:09:15:08 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:15 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:26 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=vietnamese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:26 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:29 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=english HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:29 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4485
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:33 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=vietnamese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:15:33 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:27:59 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:01 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:03 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:04 +0700] "GET /CRUD-MVC/InforSV?pageid=4 HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:05 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:06 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:07 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:08 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:09 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:10 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:11 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:11 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:12 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:13 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:14 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:15 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:16 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:22 +0700] "GET /CRUD-MVC/SinhVien/Insert.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:25 +0700] "POST /CRUD-MVC/Insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:25 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:28 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:29 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:29 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:30 +0700] "GET /CRUD-MVC/InforSV?pageid=4 HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:34 +0700] "GET /CRUD-MVC/Delete?action=delete&ma= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:34 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:40 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=english HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:40 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4485
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:42 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=vietnamese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:42 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:44 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=english HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:44 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4485
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:45 +0700] "GET /CRUD-MVC/DaNgonNgu?lang=vietnamese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2018:09:28:45 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
