127.0.0.1 - - [08/May/2018:09:18:58 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/May/2018:09:19:43 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [08/May/2018:09:20:41 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [08/May/2018:09:20:48 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [08/May/2018:09:21:08 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [08/May/2018:10:00:54 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [08/May/2018:10:01:02 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [08/May/2018:10:12:14 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [08/May/2018:10:35:36 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [08/May/2018:10:36:49 +0700] "GET /demo2/demo.jsp HTTP/1.1" 200 318
