127.0.0.1 - - [23/May/2018:09:10:30 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/May/2018:09:10:41 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:35 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:35 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:40 +0700] "GET /CRUD-MVC/InforSV?pageid=4 HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:43 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:46 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:46 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:46 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:32:47 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:34:58 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:35:01 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:35:03 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:35:04 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:35:08 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:35:08 +0700] "GET /CRUD-MVC/InforSV?pageid=1 HTTP/1.1" 200 4537
0:0:0:0:0:0:0:1 - - [23/May/2018:09:41:07 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4628
