127.0.0.1 - - [21/May/2018:08:35:39 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/May/2018:08:35:50 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:34 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:35 +0700] "GET /CRUD-MVC/InforSV?pageid=0 HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:35 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:35 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:50 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4105
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:53 +0700] "GET /CRUD-MVC/InforSV?pageid=2 HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:54 +0700] "GET /CRUD-MVC/InforSV?pageid=3 HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [21/May/2018:08:36:56 +0700] "GET /CRUD-MVC/InforSV?pageid=4 HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [21/May/2018:08:39:04 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4105
0:0:0:0:0:0:0:1 - - [21/May/2018:08:39:15 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4105
0:0:0:0:0:0:0:1 - - [21/May/2018:10:17:37 +0700] "GET /CRUD-MVC/InforSV HTTP/1.1" 200 4105
